anchor,target,rating,score,context
opposing walls,resistance,1c,0.25,A46
opposing walls,two blocks,1d,0.25,A46
opposing walls,barrier,1c,0.25,A46
opposing walls,wall sides,1b,0.25,A46
opposing walls,opposing thumbs,0,0.00,A46
opposing walls,wall paintings,0,0.00,A46
opposing walls,opposing reaction,0,0.00,A46
opposing walls,opposing magnetic fields,0,0.00,A46
opposing walls,wall design,0,0.00,A46
opposing walls,airway wall,0,0.00,A46
opposing walls,walls,2b,0.50,F26
opposing walls,opposite sides,1c,0.25,F26
opposing walls,interior wall,2a,0.50,F26
opposing walls,opposite walls,4,1.00,F26
opposing walls,longitudinal axis,1d,0.25,F26
opposing walls,inner length,1d,0.25,F26
opposing walls,sides,1d,0.25,F26
opposing walls,opposite inner walls,2a,0.50,F26
opposing walls,inner axis,1d,0.25,F26
opposing walls,inner wall,2a,0.50,F26
opposing walls,inner walls,2a,0.50,F26
opposing walls,interior walls,2a,0.50,F26
opposing walls,sidewalls,2b,0.50,F26
opposing walls,opposite inner wall,2a,0.50,F26
opposing walls,lengths,1c,0.25,F26
opposing walls,longitudinal length,1c,0.25,F26
opposing walls,length,1c,0.25,F26
opposing walls,opposite length,1c,0.25,F26
opposing walls,adjacent walls,2c,0.50,A47
opposing walls,sidewalls,2b,0.50,A47
opposing walls,side walls,2b,0.50,A47
opposing walls,opposed side walls,2b,0.50,A47
opposing walls,adjacent,1d,0.25,A47
opposing walls,opposing members,2b,0.50,A47
opposing walls,opposed walls,4,1.00,A47
opposing walls,spaced side walls,2b,0.50,A47
opposing walls,opposed members,2b,0.50,A47
opposing walls,spaced walls,2b,0.50,A47
opposing walls,spaced side,1c,0.25,A47
opposing walls,sides,1c,0.25,A47
opposing walls,walls,2b,0.50,A47
opposing walls,side members,1b,0.25,A47
opposing walls,opposed side,2b,0.50,A47
opposing walls,opposing surfaces,3,0.75,B60
opposing walls,opposite side surfaces,2a,0.50,B60
opposing walls,opposing end walls,2a,0.50,B60
opposing walls,walls,2b,0.50,B60
opposing walls,opposite surfaces,3,0.75,B60
opposing walls,opposite side walls,2a,0.50,B60
opposing walls,opposing side walls,2a,0.50,B60
opposing walls,opposite opposing walls,2a,0.50,B60
opposing walls,opposite end surfaces,2a,0.50,B60
opposing walls,opposing sidewalls,2a,0.50,B60
opposing walls,wall surfaces,2b,0.50,B60
opposing walls,walls portions,2b,0.50,B60
opposing walls,opposite walls,4,1.00,B60
opposing walls,opposite end walls,2a,0.50,B60
opposing walls,edges,1b,0.25,B60
opposing walls,opposite sidewalls,2a,0.50,B60
opposing walls,wall walls,2b,0.50,B60
opposing walls,wall grooves,1b,0.25,B60
opposing walls,edge walls,2a,0.50,B60
opposing walls,edge grooves,1b,0.25,B60
opposing walls,opposing side surfaces,2a,0.50,B60
opposing walls,sidewalls,1b,0.25,B60
opposing walls,walls surfaces,2b,0.50,B60
opposing walls,blocks,1d,0.25,B60
opposing walls,land grooves,1b,0.25,B60
opposing walls,sides,1b,0.25,B60
opposing walls,wall portions,1b,0.25,B60
opposing walls,land portions,1c,0.25,B60
opposing walls,opposing walls,4,1.00,B60
opposing walls,opposing longitudinal walls,2a,0.50,B60
opposing walls,opposing barriers,3,0.75,B60
opposing walls,wall structure,2b,0.50,B60
opposing walls,opposing partitions,3,0.75,B60
opposing walls,opposing wall members,2a,0.50,B60
opposing walls,wall system,3,0.75,B60
opposing walls,parallel walls,3,0.75,B60
opposing walls,pneumatically sprung vehicle axle,1d,0.25,B60
opposing walls,enclosed tubes,1b,0.25,B60
opposing walls,fixing flexible ducts,1d,0.25,B60
opposing walls,panels,1c,0.25,B60
opposing walls,occupants of vehicles,1d,0.25,B60
opposing walls,side channels,1c,0.25,B60
opposing walls,opposing muscle,0,0.00,B60
opposing walls,opposing candidate,0,0.00,B60
opposing walls,lumen wall face blood flow,0,0.00,B60
opposing walls,opposing mail,0,0.00,B60
opposing walls,wall tissue,0,0.00,B60
opposing walls,walls of heart,0,0.00,B60
combination function,processing,1d,0.25,H04
combination function,type,0,0.00,H04
combination function,transport protocol,0,0.00,H04
combination function,transport,0,0.00,H04
combination function,combination functional,4,1.00,H04
combination function,function,2b,0.50,H04
combination function,combining function,4,1.00,H04
combination function,transporter,0,0.00,H04
combination function,transporter protocol,0,0.00,H04
combination function,combination,2b,0.50,H04
combination function,function in combination,3,0.75,H04
combination function,domain combination function,2c,0.50,H04
combination function,combining algorithm,3,0.75,H04
combination function,setting a combination function,2a,0.50,H04
combination function,non linear combining function,2a,0.50,H04
combination function,combination function generation,3,0.75,H04
combination function,combinational logic function,2a,0.50,H04
combination function,code combination function,2c,0.50,H04
combination function,combinational circuit,2b,0.50,H04
combination function,service function,1d,0.25,H04
combination function,logic function,1c,0.25,H04
combination function,control function,1d,0.25,H04
combination function,digital combination lock,1b,0.25,H04
combination function,function module,1b,0.25,H04
combination function,electronic combination,1c,0.25,H04
combination function,rare combination,0,0.00,H04
combination function,combining engine,0,0.00,H04
combination function,function of liver,0,0.00,H04
combination function,combination reaction,0,0.00,H04
combination function,function of bile,0,0.00,H04
combination function,functional group,0,0.00,H04
come into relation,come from front,2a,0.50,B65
come into relation,come to conclusions,1b,0.25,B65
come into relation,come out,2b,0.50,B65
come into relation,come into range,3,0.75,B65
come into relation,come into relation,4,1.00,B65
come into relation,come into relationship,4,1.00,B65
come into relation,move into relation,3,0.75,B65
come into relation,come into contact,3,0.75,B65
come into relation,proceed into relation,3,0.75,B65
come into relation,come into operation,3,0.75,B65
come into relation,relation system,2b,0.50,B65
come into relation,drink through lid seal,1d,0.25,B65
come into relation,transfer mechanism,1c,0.25,B65
come into relation,image reading apparatus,1d,0.25,B65
come into relation,auxiliary devices,1d,0.25,B65
come into relation,metal web handling,1d,0.25,B65
come into relation,heated wires,1d,0.25,B65
come into relation,come into dancing,0,0.00,B65
come into relation,nuclear fission relation,0,0.00,B65
come into relation,game interaction relation,0,0.00,B65
come into relation,gender relations,0,0.00,B65
come into relation,relation therapeutics,0,0.00,B65
come into relation,come from stress,0,0.00,B65
flexible shunt,shunt,2b,0.50,H01
flexible shunt,conductive member,2b,0.50,H01
flexible shunt,conductive bridge member,2b,0.50,H01
flexible shunt,transformer lead,2a,0.50,H01
flexible shunt,main contact member,2b,0.50,H01
flexible shunt,adjustable shunt,3,0.75,H01
flexible shunt,auxiliary contact apparatus,2b,0.50,H01
flexible shunt,vacuum circuit breaker,1c,0.25,H01
flexible shunt,bus strap,1b,0.25,H01
flexible shunt,rigid shunt,1a,0.25,H01
flexible shunt,grounding band,1b,0.25,H01
flexible shunt,power updown device,1c,0.25,H01
flexible shunt,bus bar,1b,0.25,H01
flexible shunt,lead team,0,0.00,H01
flexible shunt,flexible rubber,0,0.00,H01
flexible shunt,adjustable person,0,0.00,H01
flexible shunt,bridge road,0,0.00,H01
flexible shunt,flexible spring,0,0.00,H01
flexible shunt,main crop,0,0.00,H01
kraft cooking,kraft,1c,0.25,C01
kraft cooking,spent kraft,1d,0.25,C01
kraft cooking,alkali processes,2b,0.50,C01
kraft cooking,pulping,2b,0.50,C01
kraft cooking,kraft pulp cooking,2a,0.50,C01
kraft cooking,alkaline smelting,2b,0.50,C01
kraft cooking,cooking,1c,0.25,C01
kraft cooking,kraft pulping,3,0.75,C01
kraft cooking,alkaline waste,1d,0.25,C01
kraft cooking,alkaline,1d,0.25,C01
kraft cooking,alkali smelting,2b,0.50,C01
kraft cooking,alkaline smelting processes,2b,0.50,C01
kraft cooking,pulp cooking,3,0.75,C01
kraft cooking,alkaline kraft cooking,2a,0.50,C01
kraft cooking,waste,0,0.00,C01
kraft cooking,alkali,1d,0.25,C01
kraft cooking,alkaline processes,1d,0.25,C01
kraft cooking,alkali smelting processes,2a,0.50,C01
kraft cooking,pulp pulping,1d,0.25,C01
kraft cooking,polysulfide,1d,0.25,C01
kraft cooking,northern softwood kraft,1d,0.25,C01
kraft cooking,bleached kraft pulp,1d,0.25,C01
kraft cooking,kraft board,1d,0.25,C01
kraft cooking,cooking wood chips,3,0.75,C01
kraft cooking,white liquor,2a,0.50,C01
kraft cooking,mcc,2a,0.50,C01
kraft cooking,cooking liquor,2a,0.50,C01
kraft cooking,pulp digestion,2b,0.50,C01
kraft cooking,chemical pulping,2b,0.50,C01
kraft cooking,pulp cellulose materials,2b,0.50,C01
kraft cooking,digesting wood,2a,0.50,C01
kraft cooking,paper making technology,1d,0.25,C01
kraft cooking,lignin linkage,1d,0.25,C01
kraft cooking,sulfate processes,1c,0.25,C01
kraft cooking,sawmill chips,1c,0.25,C01
kraft cooking,multistage processes,1c,0.25,C01
kraft cooking,wood structure,1c,0.25,C01
kraft cooking,food digester,0,0.00,C01
kraft cooking,kraft sketch pad,0,0.00,C01
kraft cooking,cooking raw vegetables,0,0.00,C01
kraft cooking,online cooking space,0,0.00,C01
kraft cooking,mango pulp,0,0.00,C01
kraft cooking,cooking platform,0,0.00,C01
kraft cooking,kraft,2b,0.50,D21
kraft cooking,kraft process,2b,0.50,D21
kraft cooking,cooking step,2b,0.50,D21
kraft cooking,pulping,2a,0.50,D21
kraft cooking,sulphate,2a,0.50,D21
kraft cooking,soda,1b,0.25,D21
kraft cooking,caustic sodium,1b,0.25,D21
kraft cooking,cooking,2b,0.50,D21
kraft cooking,kraft step,2a,0.50,D21
kraft cooking,kraft processes,2b,0.50,D21
kraft cooking,caustic soda,1b,0.25,D21
kraft cooking,cooking process,2b,0.50,D21
kraft cooking,pretreatment,1c,0.25,D21
kraft cooking,kraft cooks,4,1.00,D21
kraft cooking,kraft cook,4,1.00,D21
kraft cooking,northern softwood kraft,2a,0.50,D21
kraft cooking,bleached kraft pulp,2a,0.50,D21
kraft cooking,kraft board,2b,0.50,D21
kraft cooking,kraft pulping,3,0.75,D21
kraft cooking,sulfate process,2b,0.50,D21
kraft cooking,kraft paper,2a,0.50,D21
kraft cooking,sulfite processes,2b,0.50,D21
kraft cooking,kraft pulp,2a,0.50,D21
kraft cooking,kraft cooking liquor,2a,0.50,D21
kraft cooking,cook,1c,0.25,D21
kraft cooking,treated softwood,1b,0.25,D21
kraft cooking,chip,1b,0.25,D21
kraft cooking,soda pulping,1b,0.25,D21
kraft cooking,wood,1c,0.25,D21
kraft cooking,chemical process,1c,0.25,D21
kraft cooking,cooker,0,0.00,D21
kraft cooking,cooking oil,0,0.00,D21
kraft cooking,board,0,0.00,D21
kraft cooking,cookies manufacturing,0,0.00,D21
kraft cooking,kraft box,0,0.00,D21
kraft cooking,hand crafting,0,0.00,D21
update test cases,new test cases,2a,0.50,G06
update test cases,test cases,2b,0.50,G06
update test cases,possible test cases,2a,0.50,G06
update test cases,generate test cases,2a,0.50,G06
update test cases,update cases,2b,0.50,G06
update test cases,test script,2b,0.50,G06
update test cases,regression test cases,2a,0.50,G06
update test cases,upgrade test case,3,0.75,G06
update test cases,update test parameters,3,0.75,G06
update test cases,automated test scripts,2a,0.50,G06
update test cases,generating test cases,3,0.75,G06
update test cases,test scenario improvement,2c,0.50,G06
update test cases,software,1c,0.25,G06
update test cases,outdated test cases,1a,0.25,G06
update test cases,coverage data,1a,0.25,G06
update test cases,login page,1c,0.25,G06
update test cases,scripts writer,0,0.00,G06
update test cases,test match,0,0.00,G06
update test cases,new idea,0,0.00,G06
conductor particles,conductive copper particles,2a,0.50,H01
conductor particles,conductors,2b,0.50,H01
conductor particles,conductive inorganic agent,2a,0.50,H01
conductor particles,conductive materials,3,0.75,H01
conductor particles,copper powders,1b,0.25,H01
conductor particles,conductor metal powders,2c,0.50,H01
conductor particles,conductive metal powders,2c,0.50,H01
conductor particles,conductive metal particles,2c,0.50,H01
conductor particles,conductive agent,3,0.75,H01
conductor particles,conductivity fine,2b,0.50,H01
conductor particles,particles,2b,0.50,H01
conductor particles,conductor metal particles,2c,0.50,H01
conductor particles,powder,1d,0.25,H01
conductor particles,conductive particles,4,1.00,H01
conductor particles,conductivity materials,3,0.75,H01
conductor particles,copper particles,2a,0.50,H01
conductor particles,conductivity particles,4,1.00,H01
conductor particles,conductivity filler,2a,0.50,H01
conductor particles,conductive fine,1b,0.25,H01
conductor particles,powders,1d,0.25,H01
conductor particles,conductive filler,2a,0.50,H01
conductor particles,conductivity inorganic particles,2a,0.50,H01
conductor particles,conductivity inorganic agent,2a,0.50,H01
conductor particles,conductive fine particles,2a,0.50,H01
conductor particles,conductivity fine particles,2a,0.50,H01
conductor particles,conductor powders,2b,0.50,H01
conductor particles,conductor copper particles,2a,0.50,H01
conductor particles,conductor copper powders,2a,0.50,H01
conductor particles,conductivity,2b,0.50,H01
conductor particles,conductive inorganic particles,2a,0.50,H01
conductor particles,conductive copper powders,2a,0.50,H01
conductor particles,conductive powders,2b,0.50,H01
conductor particles,filler,1d,0.25,H05
conductor particles,conductive particles,4,1.00,H05
conductor particles,conductive material,3,0.75,H05
conductor particles,buses,0,0.00,H05
conductor particles,bus,0,0.00,H05
conductor particles,whiskers,0,0.00,H05
conductor particles,carbon material,2b,0.50,H05
conductor particles,micron conductive particles,2a,0.50,H05
conductor particles,metal,1b,0.25,H05
conductor particles,micron conductive whiskers,1b,0.25,H05
conductor particles,particles,2b,0.50,H05
conductor particles,carbon,1b,0.25,H05
conductor particles,carbon particles,1b,0.25,H05
conductor particles,carbon filler,1b,0.25,H05
conductor particles,resistive buses,1d,0.25,H05
conductor particles,resistive bus,1d,0.25,H05
conductor particles,conductive buses,1d,0.25,H05
conductor particles,conductive bus,1d,0.25,H05
conductor particles,conductive particle,4,1.00,H05
conductor particles,metal particles,2a,0.50,H05
conductor particles,electric conductive particles,2a,0.50,H05
conductor particles,conductive particle detector,3,0.75,H05
conductor particles,conductive material particles,2b,0.50,H05
conductor particles,conductor fine particles,3,0.75,H05
conductor particles,non conductive particles,1a,0.25,H05
conductor particles,insulator particles,1a,0.25,H05
conductor particles,electrode,1d,0.25,H05
conductor particles,insulating particles,1a,0.25,H05
conductor particles,coil,1d,0.25,H05
conductor particles,particle accelerator,0,0.00,H05
conductor particles,particle filter,0,0.00,H05
conductor particles,carbon di oxide,0,0.00,H05
conductor particles,beta particle,0,0.00,H05
conductor particles,carbon dating,0,0.00,H05
conductor particles,food particles,0,0.00,H05
conductor particles,spheres particles,1c,0.25,B01
conductor particles,transparent particles,1c,0.25,B01
conductor particles,conductor,2b,0.50,B01
conductor particles,source membranes,1c,0.25,B01
conductor particles,conductor fine particles,2a,0.50,B01
conductor particles,material particles,2b,0.50,B01
conductor particles,sources,1d,0.25,B01
conductor particles,source electrodes,2a,0.50,B01
conductor particles,spheres,1d,0.25,B01
conductor particles,transparent spheres,1d,0.25,B01
conductor particles,conductors,2b,0.50,B01
conductor particles,conductor particle,4,1.00,B01
conductor particles,fine particles,1b,0.25,B01
conductor particles,guides,1d,0.25,B01
conductor particles,particles,1c,0.25,B01
conductor particles,transparent spheres particles,1c,0.25,B01
conductor particles,conductive particles,4,1.00,B01
conductor particles,conductive particle,4,1.00,B01
conductor particles,conductor material particles,3,0.75,B01
conductor particles,exchange membranes,1d,0.25,B01
conductor particles,exchange electrodes,1d,0.25,B01
conductor particles,metal particles,2a,0.50,B01
conductor particles,conductor powder,3,0.75,B01
conductor particles,conducting particles,4,1.00,B01
conductor particles,electro conductive particles,3,0.75,B01
conductor particles,gold particles,2a,0.50,B01
conductor particles,electro conductive powders,3,0.75,B01
conductor particles,copper particles,2a,0.50,B01
conductor particles,conductive material,2b,0.50,B01
conductor particles,insulator granules,1a,0.25,B01
conductor particles,metal,1c,0.25,B01
conductor particles,charged particle,1c,0.25,B01
conductor particles,metal cores,1c,0.25,B01
conductor particles,electric current,1d,0.25,B01
conductor particles,resin cores,1c,0.25,B01
conductor particles,gold ornament,0,0.00,B01
conductor particles,paper printing,0,0.00,B01
conductor particles,metal ornament,0,0.00,B01
conductor particles,ballpen ink,0,0.00,B01
conductor particles,gold tooth,0,0.00,B01
conductor particles,talcum powder,0,0.00,B01
coupling factor,coupling ratio,1d,0.25,C04
coupling factor,coupling constant,2a,0.50,C04
coupling factor,conversion constant,1d,0.25,C04
coupling factor,coefficients,2b,0.50,C04
coupling factor,coupling ratio coefficient,2a,0.50,C04
coupling factor,coupling,1c,0.25,C04
coupling factor,coupling coefficient,2b,0.50,C04
coupling factor,coupling coefficient ratio,1d,0.25,C04
coupling factor,curves,0,0.00,C04
coupling factor,coefficient,2b,0.50,C04
coupling factor,conversion factor,1d,0.25,C04
coupling factor,coefficient ratio,1d,0.25,C04
coupling factor,coefficient ratio coefficient,1d,0.25,C04
coupling factor,conversion coefficient,1d,0.25,C04
coupling factor,response,0,0.00,C04
coupling factor,electromechanical coupling factor,2a,0.50,C04
coupling factor,transformer ratio,3,0.75,G01
coupling factor,primary turns,2a,0.50,G01
coupling factor,primary turns inductance,2a,0.50,G01
coupling factor,degree of coupling,3,0.75,G01
coupling factor,inductance,2b,0.50,G01
coupling factor,turns impedance,2a,0.50,G01
coupling factor,transformer impedance,2a,0.50,G01
coupling factor,turns,2b,0.50,G01
coupling factor,distance,1d,0.25,G01
coupling factor,relative angle,2b,0.50,G01
coupling factor,degree of contact,2a,0.50,G01
coupling factor,impedance,2b,0.50,G01
coupling factor,turns factor,2a,0.50,G01
coupling factor,winding ratio,2a,0.50,G01
coupling factor,angle,1d,0.25,G01
coupling factor,relative distance,2b,0.50,G01
coupling factor,turns ratio,3,0.75,G01
coupling factor,primary inductance,2a,0.50,G01
coupling factor,turns inductance,2a,0.50,G01
coupling factor,ratio,2b,0.50,G01
coupling factor,winding factor,2a,0.50,G01
coupling factor,mutual distance,2a,0.50,G01
coupling factor,mutual angle,2a,0.50,G01
coupling factor,area of contact,2a,0.50,G01
coupling factor,area of coupling,2a,0.50,G01
coupling factor,electromechanical coupling factor,2a,0.50,G01
coupling factor,transfer factor,2c,0.50,H02
coupling factor,apparent transfer coupling,2b,0.50,H02
coupling factor,apparent coupling,2b,0.50,H02
coupling factor,effective transfer coupling,2b,0.50,H02
coupling factor,transfer coefficient,2a,0.50,H02
coupling factor,apparent transfer coefficient,2a,0.50,H02
coupling factor,effective transfer coefficient,2a,0.50,H02
coupling factor,display,0,0.00,H02
coupling factor,coupling,2b,0.50,H02
coupling factor,ratio,2b,0.50,H02
coupling factor,coupling coefficient,3,0.75,H02
coupling factor,coupling parameter,3,0.75,H02
coupling factor,odd mode impedances,2a,0.50,H02
coupling factor,mutual coupling coefficient,2a,0.50,H02
coupling factor,power coupling coefficient,2a,0.50,H02
coupling factor,coupling level,2b,0.50,H02
coupling factor,shunt susceptance,1b,0.25,H02
coupling factor,mode impedance,1d,0.25,H02
coupling factor,radiation resistance,1b,0.25,H02
coupling factor,antenna radiation,1b,0.25,H02
coupling factor,net inductance,1d,0.25,H02
coupling factor,coupling pipe,0,0.00,H02
coupling factor,coupling reaction,0,0.00,H02
coupling factor,coupling constant,0,0.00,H02
coupling factor,production factor,0,0.00,H02
coupling factor,factor map,0,0.00,H02
coupling factor,circuit loaded,1c,0.25,H03
coupling factor,efficiency,2b,0.50,H03
coupling factor,coupling fraction,2a,0.50,H03
coupling factor,relative factor,2c,0.50,H03
coupling factor,ppm,1c,0.25,H03
coupling factor,gain,2c,0.50,H03
coupling factor,bandwidth,2b,0.50,H03
coupling factor,coupling coefficient,3,0.75,H03
coupling factor,coupling parameter,3,0.75,H03
coupling factor,coupling level,3,0.75,H03
coupling factor,quality factor,3,0.75,H03
coupling factor,shunt susceptance,2a,0.50,H03
coupling factor,second coupling coefficient,2a,0.50,H03
coupling factor,coil,1c,0.25,H03
coupling factor,coil quality,1c,0.25,H03
coupling factor,motor,1c,0.25,H03
coupling factor,resonator quality,1c,0.25,H03
coupling factor,electronic circuit,1c,0.25,H03
coupling factor,tap ratio,1c,0.25,H03
coupling factor,water level,0,0.00,H03
coupling factor,coupling reaction,0,0.00,H03
coupling factor,height level,0,0.00,H03
coupling factor,risk factor,0,0.00,H03
coupling factor,measure level,0,0.00,H03
coupling factor,view factor,0,0.00,H03
finger actuator,actuator,2b,0.50,B25
finger actuator,hydraulic actuator,2a,0.50,B25
finger actuator,pneumatic actuator,2a,0.50,B25
finger actuator,finger,2b,0.50,B25
finger actuator,present actuator,2b,0.50,B25
finger actuator,actuator finger,3,0.75,B25
finger actuator,sleeve,1d,0.25,B23
finger actuator,finger actuator,4,1.00,B23
finger actuator,finger operable,3,0.75,B23
finger actuator,finger activator,3,0.75,B23
finger actuator,finger actuator mechanism,3,0.75,B23
finger actuator,actuator system,2b,0.50,B23
finger actuator,linear actuator,2a,0.50,B23
finger actuator,activating system,2b,0.50,B23
finger actuator,actuator,2b,0.50,B23
finger actuator,milling machines,1d,0.25,B23
finger actuator,control switch,1c,0.25,B23
finger actuator,plastic liquid strainer,1d,0.25,B23
finger actuator,lock mechanism,1d,0.25,B23
finger actuator,soldering frame,1d,0.25,B23
finger actuator,pivot pin,1d,0.25,B23
finger actuator,actuator health check,0,0.00,B23
finger actuator,ring finger,0,0.00,B23
finger actuator,finger painting,0,0.00,B23
finger actuator,finger sleeve,0,0.00,B23
finger actuator,finger pain,0,0.00,B23
finger actuator,spring boot actuator,0,0.00,B23
finger actuator,actuator,2b,0.50,B65
finger actuator,finger mechanism,2a,0.50,B65
finger actuator,tape actuator,2a,0.50,B65
finger actuator,finger cutting actuator,2a,0.50,B65
finger actuator,tape finger actuator,2a,0.50,B65
finger actuator,tape cutting actuator,2a,0.50,B65
finger actuator,peeling nail,0,0.00,B65
finger actuator,finger,2b,0.50,B65
finger actuator,actuator finger,3,0.75,B65
finger actuator,actuator,2b,0.50,E05
finger actuator,actuator shaft,2a,0.50,E05
finger actuator,deadbolt,1b,0.25,E05
finger actuator,bolt,1b,0.25,E05
finger actuator,finger actuator,4,1.00,E05
finger actuator,slidable actuator,2a,0.50,E05
finger actuator,proximal finger actuator,2a,0.50,E05
finger actuator,spring biased trigger,2a,0.50,E05
finger actuator,second finger actuator,2a,0.50,E05
finger actuator,actuating lever,2b,0.50,E05
finger actuator,actuator system,2b,0.50,E05
finger actuator,push button actuator,2a,0.50,E05
finger actuator,double security lock,1d,0.25,E05
finger actuator,support holder,1c,0.25,E05
finger actuator,window regulator,1d,0.25,E05
finger actuator,control mechanism,1c,0.25,E05
finger actuator,glazing in open space,1d,0.25,E05
finger actuator,non firing actuator,1a,0.25,E05
finger actuator,finger sleeve,0,0.00,E05
finger actuator,control robot,0,0.00,E05
finger actuator,finger gloves,0,0.00,E05
finger actuator,support software,0,0.00,E05
finger actuator,finger tip pain,0,0.00,E05
finger actuator,control rain water,0,0.00,E05
retaining insert,insert retaining member,2b,0.50,A44
retaining insert,retaining,2b,0.50,B65
retaining insert,support,1c,0.25,B65
retaining insert,insert,2b,0.50,B65
retaining insert,container,1d,0.25,B65
retaining insert,shaped insert,2a,0.50,B65
retaining insert,insert retaining,3,0.75,B65
retaining insert,plastic holding insert,2a,0.50,H01
retaining insert,insert,2b,0.50,H01
retaining insert,retainer insert,4,1.00,H01
retaining insert,retaining,2b,0.50,H01
retaining insert,retaining insertion,4,1.00,H01
retaining insert,respective retaining,2a,0.50,H01
retaining insert,holding insert,2a,0.50,H01
retaining insert,holding insertion,2a,0.50,H01
retaining insert,respective holding insert,2a,0.50,H01
retaining insert,retainer,2b,0.50,H01
retaining insert,retaining inserts,3,0.75,H01
retaining insert,respective retaining insert,2a,0.50,H01
retaining insert,retainer inserts,2a,0.50,H01
retaining insert,plastic retaining insert,2a,0.50,H01
retaining insert,insert retaining member,2a,0.50,H01
retaining insert,insert retaining,4,1.00,H01
retaining insert,retaining member,2a,0.50,H01
retaining insert,retainer trough,2a,0.50,H01
retaining insert,insert collar,2a,0.50,H01
retaining insert,primary retaining member,2a,0.50,H01
retaining insert,retaining ring,2a,0.50,H01
retaining insert,circular retaining member,2a,0.50,H01
retaining insert,snug fitting relation,1b,0.25,H01
